pvm,Utsjoki,Oulu,Helsinki
2024-6-7,14.8,13.6,14.6
2024-6-8,7.4,14,13.7
2024-6-9,7.9,14.9,13.1
2024-6-10,8.9,12.7,12.3
2024-6-11,10.7,12.4,13.5
2024-6-12,9.8,13.2,13.9
2024-6-13,9.3,14.1,14.4
2024-6-14,12.3,14.6,14.5
2024-6-15,14,14.5,14.5
2024-6-16,14.6,16.3,17.1
2024-6-17,15.5,17.8,18
2024-6-18,17.5,16.3,16.9
2024-6-19,13.3,15,15.3
2024-6-20,8.5,13.9,16.1
2024-6-21,11.2,14.5,17.2
2024-6-22,10.7,14.9,16.6
2024-6-23,15.2,16.7,18.2
2024-6-24,13.8,15.8,19.2
2024-6-25,15.1,17.2,20
2024-6-26,15,18.1,19.8
2024-6-27,13.9,18.6,21.3
2024-6-28,16.7,21.2,21.9
2024-6-29,15.4,20.3,19.8
2024-6-30,11.2,16.8,17.8
2024-7-1,13.8,15.1,17.9
2024-7-2,10.2,16,17.7
2024-7-3,9,15.5,14.9
2024-7-4,12,17.6,17
2024-7-5,16.2,14.9,16.3
2024-7-6,16.7,14.8,14.7
2024-7-7,15.7,15.5,16.6
2024-7-8,14.2,16.1,17
2024-7-9,13.1,15.7,17.1
2024-7-10,13.3,16.8,17.9
2024-7-11,15.1,18.6,18.7
2024-7-12,15.1,16.9,18.5
2024-7-13,13.7,18.5,20.7
2024-7-14,18.6,16.9,19.1
2024-7-15,19.1,17.2,18.4
2024-7-16,18.3,16.8,20
2024-7-17,19.7,20.2,20.4
2024-7-18,18.9,19.8,19.1
2024-7-19,16.5,18.4,18.5
2024-7-20,18.3,19.9,18.7
2024-7-21,20.5,19.4,19.4
2024-7-22,21.3,21.4,21.2
2024-7-23,21,22.5,22.1
2024-7-24,20,22.1,21.7
2024-7-25,17.6,24,21.9
2024-7-26,20,20.8,22.1
2024-7-27,19.4,20.3,21.2
2024-7-28,19.3,19,21.2
2024-7-29,14.6,19.1,21.8
2024-7-30,14,17,20.3
2024-7-31,16.3,16.2,18.1
2024-8-1,15.6,15.4,17.7
2024-8-2,16.3,17.7,17.7
2024-8-3,15.6,17.8,18
2024-8-4,14.1,18,18.3
2024-8-5,15.5,18,18.2
2024-8-6,15.6,18,19.3
2024-8-7,17,18.2,18.4
2024-8-8,16.5,19.2,20
2024-8-9,17.3,19.7,21.7
2024-8-10,18.5,18.2,19
2024-8-11,17.8,15.6,17
2024-8-12,16.5,16.2,15.1
2024-8-13,15.6,17.7,18.9
2024-8-14,17.9,18.3,19.4
2024-8-15,17.2,19,19.6
2024-8-16,17.2,17.9,19.7
2024-8-17,14.6,16.4,19.4
2024-8-18,14.4,16.5,17.7
2024-8-19,12.9,16.2,18.4
2024-8-20,13.9,17.2,16.8
2024-8-21,16.2,17.3,19.6
2024-8-22,16.1,17.4,19.2
2024-8-23,16.8,17,17.4
2024-8-24,14.8,16.4,17.7
2024-8-25,12.6,15.3,19.6
2024-8-26,14,15.8,17.2
2024-8-27,13.4,15.1,17.3
2024-8-28,13,15,17.7
2024-8-29,13.5,16.5,17.9
2024-8-30,16.1,17.1,20.8
2024-8-31,11.8,16.2,16.1
2024-9-1,10.9,15.6,14.9
2024-9-2,14.7,15.6,16.3
2024-9-3,12.7,16.7,18.2
2024-9-4,16.2,17.3,19.3
2024-9-5,14.3,16.6,19.7
2024-9-6,12.6,18.4,18.6
2024-9-7,12.8,17.7,18.4
2024-9-8,12.4,17,18.9
2024-9-9,17.6,18.6,20
2024-9-10,16.9,19.3,19.7
2024-9-11,16.6,16.8,17.3
2024-9-12,15.2,15.1,17.3
2024-9-13,11,14.4,17
2024-9-14,6.9,13.4,18.2
2024-9-15,4.6,12.4,13.2
2024-9-16,5.6,12.6,13.5
2024-9-17,10.6,12.7,15.8
2024-9-18,9.6,14,13
2024-9-19,14.4,15.5,13.6
2024-9-20,6.8,13.7,16
2024-9-21,5.9,10.3,12
2024-9-22,3,7.9,8.6
2024-9-23,2.3,7.4,13.4
2024-9-24,5.3,11.5,17.1
2024-9-25,4.4,14.3,16.9
2024-9-26,6.6,12.3,15.7
2024-9-27,4.6,7.7,15.2
2024-9-28,5.1,8.1,11.5
2024-9-29,3.4,7.8,8.9
2024-9-30,2.2,7.5,7.4
2024-10-1,4.6,7.9,8
2024-10-2,3.2,5.7,6.8
2024-10-3,-0.3,4.8,7.7
2024-10-4,1.2,7.3,7.6
2024-10-5,1.7,6.6,9.1
2024-10-6,1,2.4,12.2
2024-10-7,-1.3,1.4,9.9
2024-10-8,-3,2.2,7.5
2024-10-9,2.5,4.1,9.6
2024-10-10,2.3,6.4,12.9
2024-10-11,3.7,8.4,12.5
2024-10-12,0.9,4.6,7.5
2024-10-13,2.4,4.2,8.2
2024-10-14,3.8,4,6.7
2024-10-15,-2,5.1,5
2024-10-16,-3.6,5.4,7
2024-10-17,1.3,7.1,10.4
2024-10-18,4.6,8.5,10.8
2024-10-19,3.3,9.4,11.2
2024-10-20,5.9,9.1,10.6
2024-10-21,3.8,10.8,11.6
2024-10-22,5,9.4,11.5
2024-10-23,-1.7,7.8,10.5
2024-10-24,-1.9,6.6,10.2
2024-10-25,4.4,5.9,10.2
2024-10-26,1.3,5.9,10.5
2024-10-27,2.4,4.7,10.4
2024-10-28,3,6.7,8.4
2024-10-29,-0.1,4.4,6.1
2024-10-30,-1.7,4.9,8.4
2024-10-31,-6.2,1.9,4.5
2024-11-1,-10.1,-1.7,3.1
2024-11-2,-9.4,1.6,1.7
2024-11-3,-2.7,1.2,1.5
2024-11-4,-1,1.8,1.5
2024-11-5,-0.4,1,5.8
2024-11-6,3.5,4,6.9
2024-11-7,3.4,4.7,6.1
2024-11-8,7.3,7.6,6.6
2024-11-9,3.2,5.2,6.2
2024-11-10,2,-0.1,3.6
2024-11-11,-0.8,-0.9,5.1
2024-11-12,-2,1.4,4.4
2024-11-13,1.7,4.5,5.9
2024-11-14,1.8,4.2,5.2
2024-11-15,-0.7,4.6,5.7
2024-11-16,-3.3,4.5,8.4
2024-11-17,0.1,0.5,6.2
2024-11-18,-2.4,-0.5,1.8
2024-11-19,-5.4,-1.4,-0.7
2024-11-20,-17,-3.9,1.8
2024-11-21,-15.3,-4.4,2.1
2024-11-22,-1,-2.5,-1.5
2024-11-23,-1.3,-1.9,-2.1
2024-11-24,-2.7,0,1.4
2024-11-25,-3.6,2.3,6.1
2024-11-26,-8.2,4,7.9
2024-11-27,-11.3,-3.3,7.1
2024-11-28,-14,-1.2,5.3
2024-11-29,-4.2,0.7,2.7
2024-11-30,-7.4,-2.3,5.4
2024-12-1,-11.4,1.4,6.5
2024-12-2,-5,4.3,5.8
2024-12-3,-4.9,-1.7,0.5
2024-12-4,-13.7,-4.3,-4.3
2024-12-5,-11.7,-6,-0.9
2024-12-6,-3,-1.2,0.4
2024-12-7,0.5,-0.9,0.8
2024-12-8,-1,-0.9,0.3
2024-12-9,0.6,-0.7,-1.8
2024-12-10,2,3.6,0.6
2024-12-11,-2.7,0.9,1
2024-12-12,-6.6,-3.3,-3.1
2024-12-13,-14.1,-6.2,-2
2024-12-14,-27.1,-10.2,1.6
2024-12-15,-28.8,-13.8,-4.4
2024-12-16,-12.8,-10.7,1.5
2024-12-17,-20.7,-15.9,0.2
2024-12-18,-31.1,-14.2,-1.6
2024-12-19,-30.6,-7.1,4.2
2024-12-20,-12.9,-7.9,1.7
2024-12-21,-2.1,-7.9,-1
2024-12-22,-4.4,-7.4,3.4
2024-12-23,-17.4,-5.8,4
2024-12-24,-15.2,-5.6,2.4
2024-12-25,-6.4,1.2,4.7
2024-12-26,-1.6,2.5,5.5
2024-12-27,-2.4,2.6,2.2
2024-12-28,-6.1,0.5,2.2
2024-12-29,-2,1,4.9
2024-12-30,-2.7,-0.5,2.4
2024-12-31,-3.9,-2.3,-1.2
2025-1-1,-13.2,-7,-1.5
2025-1-2,-26.3,-7.9,-4.8
2025-1-3,-29.8,-14.1,-6.2
2025-1-4,-30.3,-15.8,-7.4
2025-1-5,-21,-19.3,-5.4
2025-1-6,-22.7,-10.8,-5
2025-1-7,-26.8,-9.3,0.7
2025-1-8,-21.8,-7.1,2
2025-1-9,-27.9,-9.2,1.8
2025-1-10,-32.1,-15.6,0.5
2025-1-11,-16.9,-18.5,-1.9
2025-1-12,-12.7,-10.7,-6.5
2025-1-13,-6,-2.1,-0.5
2025-1-14,-7.7,1.6,3.4
2025-1-15,-7.2,-2.1,1.3
2025-1-16,1.3,3.7,4.2
2025-1-17,2.9,3.3,3.3
2025-1-18,1.7,1.7,3.8
2025-1-19,-5.9,-0.5,1.1
2025-1-20,-12.2,-8.3,-1.6
2025-1-21,-26.5,-11.1,-2.6
2025-1-22,-19.7,-8.7,1.3
2025-1-23,-17.1,-12.8,2.2
2025-1-24,-12.7,-7,2.4
2025-1-25,-12.3,0.5,3.5
2025-1-26,-3.5,1.9,3.8
2025-1-27,-8.9,-2.1,1.9
2025-1-28,-7.6,-0.8,3.3
2025-1-29,-15.1,-0.1,3.8
2025-1-30,-17.6,0.5,3.6
2025-1-31,-5.9,-3.5,2.9
2025-2-1,-7.9,-3.3,0.6
2025-2-2,-12.6,-5.9,-0.7
2025-2-3,-28.1,-14.4,-4.3
2025-2-4,-26.7,-16.6,-5.6
2025-2-5,-10,-4.9,0.4
2025-2-6,-3.1,-1.8,2.2
2025-2-7,5.2,1.6,0.3
2025-2-8,-0.5,-1.6,-0.9
2025-2-9,-5.1,-2.5,-2.5
2025-2-10,-1.1,-4.1,-1.5
2025-2-11,3.2,-3,-1.6
2025-2-12,-4.4,-7.7,-0.6
2025-2-13,-9.8,-10.1,-3.3
2025-2-14,-13.6,-9.8,-7.8
2025-2-15,-12.6,-12.3,-7
2025-2-16,-8.3,-11.4,-8.6
2025-2-17,-11.7,-10.7,-8.3
2025-2-18,-6.3,-9.2,-5.2
2025-2-19,-4,-8.6,-5.8
2025-2-20,-3.1,-3.7,-4.1
2025-2-21,-4.3,-2,0.2
2025-2-22,-3.2,1.5,0.5
2025-2-23,1.7,1.9,0.6
2025-2-24,1.9,2.2,1.8
2025-2-25,1.8,2.1,1.8
2025-2-26,-1.5,1.1,1.6
2025-2-27,-1.4,1.5,1.6
2025-2-28,-6.9,-0.1,2
2025-3-1,-10.8,-0.1,0.8
2025-3-2,-3.7,0.3,1.3
2025-3-3,-2.7,0.1,3
2025-3-4,-2.2,-1.7,3.4
2025-3-5,-4.4,-0.9,4.1
2025-3-6,-11.3,-3.2,5.2
2025-3-7,-12.7,-2.8,4.6
2025-3-8,-6.5,1.3,5.7
2025-3-9,-6.1,-3.9,2.9
2025-3-10,-9.2,-3.3,3.5
2025-3-11,-12.4,-9,0.5
2025-3-12,-15.5,-7.6,-2.1
2025-3-13,-11.7,-8,-1.7
2025-3-14,-15.1,-8.7,-2
2025-3-15,-22.5,-2.1,1.2
2025-3-16,-15,-8,0.6
2025-3-17,-11.9,-4.5,-1.2
2025-3-18,-10.7,-2,4.1
2025-3-19,-6.4,-1.7,6.1
2025-3-20,-6.8,-4.5,3
2025-3-21,-3.3,-5.7,2.5
2025-3-22,2.4,0.5,1.5
2025-3-23,0.2,2.2,2.7
2025-3-24,-0.2,1.9,2.4
2025-3-25,-0.5,1.2,3.7
2025-3-26,-3.2,-0.9,4.5
2025-3-27,-2.9,2.6,3.5
2025-3-28,-1.5,3.8,4.4
2025-3-29,-0.9,5.2,6.7
2025-3-30,-2.1,1.9,5.9
2025-3-31,-3.8,1.9,7
2025-4-1,-6.8,1.5,8.8
2025-4-2,3.8,3.4,11.5
2025-4-3,0.7,4,9.8
2025-4-4,-4.8,0.7,6.7
2025-4-5,-5.3,-3.1,0.4
2025-4-6,-3.6,-0.6,0.2
2025-4-7,-1.9,-1.2,3.9
2025-4-8,1.2,1.2,2.3
2025-4-9,-5.4,-1.3,2.5
2025-4-10,-10.5,-5,0.2
2025-4-11,-9,-5.4,0.9
2025-4-12,-8.2,-1.8,5
2025-4-13,-6.4,2,6.9
2025-4-14,-5.4,5.4,7.5
2025-4-15,-2.7,3.6,9.3
2025-4-16,-2.5,7.5,10.8
2025-4-17,0.8,7.5,8.9
2025-4-18,0.8,4.7,9.2
2025-4-19,-1.1,1.6,13.1
2025-4-20,-4.4,1.7,7.4
2025-4-21,-3.2,2,6.3
2025-4-22,-4,3.5,5.6
2025-4-23,-2,2.3,7.1
2025-4-24,-3.9,0.6,5
2025-4-25,-4.2,0.7,3.8
2025-4-26,-3.4,-0.8,4.4
2025-4-27,-2.1,1.3,3.9
2025-4-28,-3.9,4.2,7.1
2025-4-29,-4.7,2.4,9.9
2025-4-30,-0.5,1.4,4.5
2025-5-1,2.6,2.5,5.9
2025-5-2,2.4,7,8.1
2025-5-3,0.5,3,8.8
2025-5-4,-1,1.6,6.7
2025-5-5,-0.9,0.9,5.3
2025-5-6,-0.8,1.7,5.7
2025-5-7,0.6,2.1,4.6
2025-5-8,1.2,2.8,5.3
2025-5-9,0.9,4.1,6.4
2025-5-10,3.5,5.5,7.3
2025-5-11,5.8,6.3,8.9
2025-5-12,5.8,7.8,10.5
2025-5-13,3.5,7.7,10.9
2025-5-14,3.5,6.8,8.4
2025-5-15,3.7,10,9.9
2025-5-16,4.4,7.6,13.4
2025-5-17,3.5,9.6,9.4
2025-5-18,3.8,8.5,14.5
2025-5-19,4.6,8.9,13.5
2025-5-20,2.2,8,14.1
2025-5-21,1.9,5.4,10.6
2025-5-22,2.6,5.7,12.5
2025-5-23,6.6,10.3,10.3
2025-5-24,5.6,9.4,9.6
2025-5-25,8.2,10,10.9
2025-5-26,9.2,12.9,12
2025-5-27,8.6,11.6,13.2
2025-5-28,8.5,11.6,13.5
2025-5-29,9,10,14
2025-5-30,8.3,11.4,14.4
2025-5-31,7.2,10.7,13.2
2025-6-1,5.5,9.9,13.9
2025-6-2,7.3,10.9,11.7
2025-6-3,9.9,10.6,12.9
2025-6-4,13.1,13.3,13.4
2025-6-5,12.4,13.4,13.7
2025-6-6,13.2,13.3,13.3
2025-6-7,13.8,13.1,14.5
2025-6-8,11.8,11,13.9
2025-6-9,9.1,10.8,12.6
2025-6-10,8.1,11.6,13.4
2025-6-11,9.8,11.9,11.7
2025-6-12,7.4,13.5,14.2
2025-6-13,10.3,11.4,16.4
2025-6-14,13.7,15.6,16.8
2025-6-15,7.8,14.8,17.5
2025-6-16,8.8,14.9,17.2
2025-6-17,12.6,13.3,16.4
2025-6-18,7.7,13.4,15.5
2025-6-19,6,13.1,13.3
2025-6-20,6.4,11.4,16
2025-6-21,6.4,13.5,11.9
2025-6-22,7.4,14.1,14.7
2025-6-23,7.2,13,13.7
2025-6-24,8.4,12.7,12.9
2025-6-25,8.4,9.8,14.3
2025-6-26,8.4,11.9,13.8
2025-6-27,7.5,14.2,14.9
2025-6-28,9.7,15,15
2025-6-29,14.1,12.9,15.6
2025-6-30,9.5,14.2,16.6
2025-7-1,12,14.7,19.6
2025-7-2,10.5,15,19.4
2025-7-3,11.8,13.7,17.7
2025-7-4,11,11,15.6
2025-7-5,9.7,12.5,13.3
2025-7-6,8.9,14.6,14.1
2025-7-7,9.1,13.3,15.3
2025-7-8,9.7,13.2,15.6
2025-7-9,10.3,13.4,16.5
2025-7-10,15.2,16.6,16.4
2025-7-11,20.5,18.3,18
2025-7-12,18.4,18.9,21.2
2025-7-13,18.9,21.4,20.7
2025-7-14,18,22.1,22.1
2025-7-15,16.8,22,23.1
2025-7-16,14.1,20.9,22.5
2025-7-17,15.5,19.6,22.9
2025-7-18,21.6,21.5,21.5
2025-7-19,13.3,21.2,21.3
2025-7-20,19.4,22,22.5
2025-7-21,20.1,23.4,22.7
2025-7-22,18,23.2,22.7
2025-7-23,13.5,23.5,22.8
2025-7-24,15.1,23.7,23.6
2025-7-25,16.9,23.6,24.2
2025-7-26,15.8,22.1,23.3
2025-7-27,15.5,21.4,23.4
2025-7-28,16.9,22.4,23.8
2025-7-29,16.7,23.8,22.9
2025-7-30,13.2,23.8,24.1
2025-7-31,18.9,25.5,23.8
2025-8-1,18.5,25.4,21.6
2025-8-2,20.2,24.8,20
2025-8-3,16.7,20.6,22.1
2025-8-4,17.8,21.8,22.4
2025-8-5,21.8,20.7,19.6
2025-8-6,15.4,16.8,18.4
2025-8-7,14,16.4,17.7
2025-8-8,15.6,17.4,17.1
2025-8-9,15.6,17.9,18.1
2025-8-10,16.7,17.3,18
2025-8-11,14.4,16.9,17.8
2025-8-12,14.1,16.7,15.3
2025-8-13,12.6,15.8,17.1
2025-8-14,13.7,17.5,17.9
2025-8-15,17.2,19,19.5
2025-8-16,12.7,13.6,14.9
2025-8-17,10.5,13.8,15.2
2025-8-18,10.8,15.3,16.9
2025-8-19,8.5,13.6,16.2
2025-8-20,8.3,11.3,13.2
2025-8-21,7.3,11.9,12.1
2025-8-22,8.2,11.6,12
2025-8-23,9.3,11.8,12.5
2025-8-24,10.6,12,11.4
2025-8-25,9.7,10.9,12.7
2025-8-26,9.7,12.9,13
2025-8-27,8.7,11.7,13.5
2025-8-28,9,11.1,14.2
2025-8-29,8.1,13.2,14.5
2025-8-30,7.5,13.9,15.9
2025-8-31,7.7,13.8,15.4
2025-9-1,9.6,13.7,14.3
2025-9-2,11.4,14.5,15.3
2025-9-3,13.8,15.4,16.5
2025-9-4,14,16.5,15.7
2025-9-5,15.7,16,15.7
2025-9-6,12.4,17.5,17.4
2025-9-7,10.1,19.2,17.9
2025-9-8,13.5,16.1,18
2025-9-9,14.5,15,17.9
2025-9-10,13.3,17.3,19
2025-9-11,14.4,18.8,19
2025-9-12,12.3,17.5,16.2
2025-9-13,13.8,14.8,16.4
2025-9-14,11.2,12.9,15.7
2025-9-15,8.3,12.8,15.1
2025-9-16,11.8,13.5,15.2
2025-9-17,11.6,13.7,15
2025-9-18,10.7,12.7,15.3
2025-9-19,7.7,10.5,13.9
2025-9-20,3.9,9.1,15.9
2025-9-21,4.7,10.1,17.4
2025-9-22,6.7,11,13.9
2025-9-23,6,9,9.1
2025-9-24,6.1,7.8,7.9
2025-9-25,8,10.3,9.4
2025-9-26,8.9,11.3,10.5
2025-9-27,7.1,9.9,11.5
2025-9-28,4.2,9.9,10.3
2025-9-29,5.7,9.1,9.5
2025-9-30,6.7,8.5,8.6
2025-10-1,4.2,7.5,8.4
2025-10-2,4.3,7.2,8.1
2025-10-3,7.5,7.9,7.3
2025-10-4,7.7,6,9.1
2025-10-5,4.2,9,10.7
2025-10-6,7.1,9.7,11.7
2025-10-7,9.1,9.8,13
2025-10-8,8.1,10.5,12.2
2025-10-9,5.9,9.1,12.6
2025-10-10,5.8,8.6,10.3
2025-10-11,2.3,6.7,10.3
2025-10-12,2.8,5.3,7.1
2025-10-13,3.9,5.5,6.3
2025-10-14,3.5,6,6.4
2025-10-15,2.5,7,7.2
2025-10-16,2.9,7.6,7.5
2025-10-17,1.1,4.7,3.5
2025-10-18,2.6,3.9,2
2025-10-19,-0.9,6.7,4.4
2025-10-20,-2.6,5.1,6.3
2025-10-21,-6.3,6,8.1
2025-10-22,-4.5,4.9,7.1
2025-10-23,1.7,5.8,7.4
2025-10-24,1.5,6.1,8.8
2025-10-25,-1.2,6.8,10.5
2025-10-26,-2.5,7.4,9.5
2025-10-27,1.9,7.3,7.6
2025-10-28,3.2,6.3,6.4
2025-10-29,3.5,5.2,7
2025-10-30,2.2,4.6,7.1
2025-10-31,1.3,4.3,7.2
2025-11-1,-0.2,3.5,6.3
2025-11-2,1.5,3.7,8.5
2025-11-3,1.6,6.1,9.2
2025-11-4,1.7,6.8,8.5
2025-11-5,1.6,7.6,11.3
2025-11-6,0.3,6.4,10.8
2025-11-7,0.7,4,10.4
2025-11-8,-1.7,-0.3,9
2025-11-9,-2.1,2.5,7.9
2025-11-10,-1.3,2,4.7
2025-11-11,-12.4,-2,6.1
2025-11-12,-6.9,4,8.6
2025-11-13,-0.9,2.8,8.7
